author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/301496936/;Москва;sale;flat;7;8;1;53.2;58786000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300932847/;Москва;sale;flat;10;14;1;65.2;35000000;Мещанский; Гиляровского;50;Проспект Мира;
Гарант-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301750636/;Москва;sale;flat;3;5;1;19.2;6300000;Солнцево; 50 лет Октября;2К2;Говорово;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302554100/;Москва;sale;flat;10;17;1;37.7;11500000;; Самуила Маршака;23к1;Рассказовка;Переделкино Ближнее Город-парк
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298396919/;Москва;sale;flat;2;16;1;37.1;10850000;; Василия Ощепкова;4;Коммунарка;Москвичка
RED;real_estate_agent;https://www.cian.ru/sale/flat/302447621/;Москва;sale;flat;2;16;1;39.0;9000000;;проезд Чечерский;126;Бунинская аллея;Новое Бутово
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298274016/;Москва;sale;flat;11;17;1;37.6;10800000;; Бориса Пастернака;49;Мичуринец;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298373561/;Москва;sale;flat;3;9;1;41.5;12400000;;бульвар Севильский;1;Прокшино;Испанские кварталы
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298204489/;Москва;sale;flat;14;16;1;33.0;8700000;;проспект Магеллана;2;Прокшино;Испанские кварталы
Юлия Шмелева;realtor;https://www.cian.ru/sale/flat/302212291/;Москва;sale;flat;8;12;1;35.2;13000000;Кунцево;Кунцевская ;19К3;Рабочий посёлок;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302681683/;Москва;sale;flat;36;41;1;48.1;43400000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Оптима МСК;official_representative;https://www.cian.ru/sale/flat/302645220/;Москва;sale;flat;3;8;1;18.4;4346000;Соколиная гора;Окружной проезд;15;Измайлово;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302544975/;Москва;sale;flat;19;41;1;47.6;42000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
ID 10310682;realtor;https://www.cian.ru/sale/flat/302652019/;Москва;sale;flat;4;14;1;34.5;14500000;Чертаново Центральное; Красного Маяка;2;Пражская;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300833206/;Москва;sale;flat;1;12;1;34.1;10990000;Черемушки; Обручева;39;Калужская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298408585/;Москва;sale;flat;3;14;1;35.8;8200000;; Омская;8;Аэропорт Внуково;Внуково 2017
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298213083/;Москва;sale;flat;2;3;1;41.8;8500000;; Андерсена;14к1;Коммунарка;Андерсен
