author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 413522,realtor,https://www.cian.ru/sale/flat/301734984/,Москва,sale,flat,7,12,2,78.0,-1,0,102999000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822469/,Москва,sale,flat,3,21,2,51.0,-1,0,52000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,-1,0,58000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ID 413522,realtor,https://www.cian.ru/sale/flat/301734996/,Москва,sale,flat,7,14,2,95.0,-1,0,166990000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ID 413522,realtor,https://www.cian.ru/sale/flat/301735020/,Москва,sale,flat,10,21,2,54.0,-1,0,61800000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,-1,0,194940000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ID 25751693,realtor,https://www.cian.ru/sale/flat/299894208/,Москва,sale,flat,12,12,2,77.4,-1,0,34868700,Таганский, Рогожский Вал,10,Площадь Ильича,Рогожский вал 12
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/295277285/,Москва,sale,flat,6,6,2,122.3,-1,0,68000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ID 111240424,homeowner,https://www.cian.ru/sale/flat/300143306/,Москва,sale,flat,38,52,2,63.0,-1,0,36000000,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734726/,Москва,sale,flat,3,6,2,127.4,-1,0,189000000,Хамовники,переулок Хилков,5,Парк Культуры,Особняк в Хилковом переулке
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300652339/,Москва,sale,flat,8,9,2,55.7,-1,0,40000000,Тверской,1-я Тверская-Ямская ,28,Белорусская,
Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734696/,Москва,sale,flat,5,14,2,129.5,-1,0,147800000,Хамовники, Усачева,11Е,Спортивная,Садовые кварталы
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,-1,0,62000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478855/,Москва,sale,flat,3,5,2,69.3,-1,0,52000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680518/,Москва,sale,flat,8,11,2,142.0,-1,0,229559749,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва,sale,flat,5,21,2,117.0,-1,0,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Барно Турсунова,realtor,https://www.cian.ru/sale/flat/299059276/,Москва,sale,flat,5,17,2,51.1,-1,0,14980000,Останкинский,Березовая аллея,19к6,Ботанический сад,Апарт-комплекс Легендарный квартал
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272186797/,Москва,sale,flat,11,24,2,46.5,-1,0,21900000,Головинский,Головинское шоссе,11,Водный стадион,Талисман на Водном
ID 86900871,realtor,https://www.cian.ru/sale/flat/297947020/,Москва,sale,flat,2,3,2,46.3,-1,0,56000000,Басманный, Маросейка,11/4С1,Китай-город,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680524/,Москва,sale,flat,5,14,2,100.1,-1,0,125000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680554/,Москва,sale,flat,9,14,2,99.71,-1,0,118450000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Choice Estate,real_estate_agent,https://www.cian.ru/sale/flat/298409167/,Москва,sale,flat,14,21,2,60.0,-1,0,64276729,Пресненский,Лаки жилой квартал,,Улица 1905 года,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680552/,Москва,sale,flat,8,14,2,100.0,-1,0,113300000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ID 112591621,homeowner,https://www.cian.ru/sale/flat/301839935/,Москва,sale,flat,13,45,2,51.0,-1,0,32300000,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779246/,Москва,sale,flat,30,37,2,69.5,-1,0,40000000,Хорошево-Мневники,Шелепихинская набережная,34к1зд4,Шелепиха,Сердце Столицы
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298308357/,Москва,sale,flat,12,79,2,61.0,-1,0,57000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
ID 413522,realtor,https://www.cian.ru/sale/flat/301734987/,Москва,sale,flat,9,14,2,99.71,-1,0,101999000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,43.0,-1,0,27999000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/301119738/,Москва,sale,flat,12,17,2,53.0,-1,0,9200000,Крюково,Зеленоград,к1546,Зеленоград — Крюково,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/298979500/,Москва,sale,flat,8,9,2,43.2,-1,0,6600000,,,22,Апрелевка,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301405653/,Москва,sale,flat,2,5,2,55.1,-1,0,14700000,Фили-Давыдково, Алексея Свиридова,13К2,Кунцевская,
МГСН-Проспект Мира,real_estate_agent,https://www.cian.ru/sale/flat/301595890/,Москва,sale,flat,12,22,2,53.0,-1,0,19490000,Проспект Вернадского,проспект Вернадского,58,Проспект Вернадского,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050415/,Москва,sale,flat,11,13,2,83.0,-1,0,100000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300099334/,Москва,sale,flat,8,14,2,40.8,-1,0,14900000,Очаково-Матвеевское,Озерная ,29К1,Озёрная,
ID 413522,realtor,https://www.cian.ru/sale/flat/301734978/,Москва,sale,flat,8,14,2,100.0,-1,0,111999000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779311/,Москва,sale,flat,3,25,2,43.2,-1,0,18500000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/300822574/,Москва,sale,flat,5,14,2,47.0,-1,0,14700000,Аэропорт, 4-я 8 Марта,4к2,Гражданская,
ID 104053634,homeowner,https://www.cian.ru/sale/flat/299900027/,Москва,sale,flat,21,26,2,87.0,-1,0,37000000,Хорошевский,проезд Березовой Рощи,12,ЦСКА,Гранд-парк
ID 413522,realtor,https://www.cian.ru/sale/flat/301734946/,Москва,sale,flat,1,7,2,62.0,-1,0,82400000,Якиманка, Большая Полянка,44/2,Полянка,Полянка/44
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301458215/,Москва,sale,flat,4,9,2,45.8,-1,0,16900000,Алексеевский, Космонавтов,22,ВДНХ,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295467334/,Москва,sale,flat,5,10,2,106.2,-1,0,70000000,Хамовники, Пречистенка,40/2С4,Парк Культуры,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299509241/,Москва,sale,flat,24,24,2,57.4,-1,0,39300000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300183001/,Москва,sale,flat,3,5,2,53.0,-1,0,6700000,,,43,Подольск,
RND,real_estate_agent,https://www.cian.ru/sale/flat/298253114/,Москва,sale,flat,4,21,2,65.1,-1,0,68500000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
One Click Property,real_estate_agent,https://www.cian.ru/sale/flat/293612862/,Москва,sale,flat,9,9,2,131.6,-1,0,57000000,Басманный,Нижняя Красносельская ,35С49,Бауманская,Лофтек
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/293054575/,Москва,sale,flat,3,5,2,40.0,-1,0,7499999,Даниловский,Автозаводская ,23К7,ЗИЛ,Галерея ЗИЛ
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300942839/,Москва,sale,flat,2,7,2,82.6,-1,0,40000000,Беговой,Ленинградский проспект,15С28,Белорусская,Bolshevik
RND,real_estate_agent,https://www.cian.ru/sale/flat/301423340/,Москва,sale,flat,7,19,2,83.0,-1,0,72900000,Пресненский, Пресненский Вал,21,Белорусская,Пресненский вал 21
Реалист,real_estate_agent,https://www.cian.ru/sale/flat/301562170/,Москва,sale,flat,4,5,2,53.5,-1,0,7500000,,,5,Прокшино,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/295800676/,Москва,sale,flat,4,17,2,44.5,-1,0,40000000,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
ID 85604823,unknown,https://www.cian.ru/sale/flat/299429352/,Москва,sale,flat,38,51,2,63.0,-1,0,36000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/301426483/,Москва,sale,flat,1,5,2,45.8,-1,0,11000000,Фили-Давыдково,Кутузовский проспект,63,Кунцевская,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/289514736/,Москва,sale,flat,2,5,2,64.0,-1,0,166400000,Хамовники,Пречистенская набережная,43,Кропоткинская,Carré Blanc
ELSTATE,real_estate_agent,https://www.cian.ru/sale/flat/298708075/,Москва,sale,flat,3,5,2,70.0,-1,0,89999999,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
Алексей Дорошевич,realtor,https://www.cian.ru/sale/flat/301311609/,Москва,sale,flat,2,17,2,54.0,-1,0,13800000,Некрасовка,проспект Защитников Москвы,1,Некрасовка,
ID 88506405,homeowner,https://www.cian.ru/sale/flat/296171171/,Москва,sale,flat,2,21,2,46.0,-1,0,23500000,Хорошевский, Зорге,9Ак1,Зорге,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Москва,sale,flat,2,21,2,57.23,-1,0,63000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Людмила Геберт,realtor,https://www.cian.ru/sale/flat/301652063/,Москва,sale,flat,3,9,2,35.0,-1,0,12100000,Свиблово, Седова,13К1,Ботанический сад,
